year,city,country,avg_temp
1942,Dallas,United States,17.94
1943,Dallas,United States,18.42
1944,Dallas,United States,18.40
1945,Dallas,United States,18.06
1946,Dallas,United States,18.91
1947,Dallas,United States,17.96
1948,Dallas,United States,18.26
1949,Dallas,United States,18.05
1950,Dallas,United States,18.15
1951,Dallas,United States,18.63
1952,Dallas,United States,18.85
1953,Dallas,United States,18.82
1954,Dallas,United States,19.67
1955,Dallas,United States,18.73
1956,Dallas,United States,19.36
1957,Dallas,United States,18.10
1958,Dallas,United States,17.63
1959,Dallas,United States,17.75
1960,Dallas,United States,17.71
1961,Dallas,United States,17.68
1962,Dallas,United States,18.32
1963,Dallas,United States,18.84
1964,Dallas,United States,18.38
1965,Dallas,United States,18.54
1966,Dallas,United States,17.61
1967,Dallas,United States,18.33
1968,Dallas,United States,17.36
1969,Dallas,United States,18.15
1970,Dallas,United States,17.91
1971,Dallas,United States,18.51
1972,Dallas,United States,18.31
1973,Dallas,United States,17.98
1974,Dallas,United States,18.26
1975,Dallas,United States,17.95
1976,Dallas,United States,17.45
1977,Dallas,United States,18.88
1978,Dallas,United States,17.82
1979,Dallas,United States,17.11
1980,Dallas,United States,18.77
1981,Dallas,United States,18.41
1982,Dallas,United States,18.17
1983,Dallas,United States,17.20
1984,Dallas,United States,18.47
1985,Dallas,United States,18.22
1986,Dallas,United States,18.83
1987,Dallas,United States,18.28
1988,Dallas,United States,18.19
1989,Dallas,United States,17.48
1990,Dallas,United States,18.97
1991,Dallas,United States,18.47
1992,Dallas,United States,18.19
1993,Dallas,United States,17.82
1994,Dallas,United States,18.31
1995,Dallas,United States,18.45
1996,Dallas,United States,18.43
1997,Dallas,United States,17.85
1998,Dallas,United States,19.85
1999,Dallas,United States,19.61
2000,Dallas,United States,18.90
2001,Dallas,United States,18.55
2002,Dallas,United States,18.19
2003,Dallas,United States,18.55
2004,Dallas,United States,18.58
2005,Dallas,United States,19.13
2006,Dallas,United States,19.85
2007,Dallas,United States,18.42
2008,Dallas,United States,18.52
2009,Dallas,United States,18.42
2010,Dallas,United States,18.69
2011,Dallas,United States,19.69
2012,Dallas,United States,19.99
2013,Dallas,United States,20.45
