year,city,dallas_avg_temp,global_avg_temp
1897,Dallas,17.93,8.29
1898,Dallas,17.41,8.18
1899,Dallas,17.59,8.40
1900,Dallas,18.08,8.50
1901,Dallas,18.02,8.54
1902,Dallas,18.03,8.30
1903,Dallas,16.64,8.22
1904,Dallas,18.12,8.09
1905,Dallas,16.97,8.23
1906,Dallas,17.30,8.38
1907,Dallas,18.44,7.95
1908,Dallas,18.24,8.19
1909,Dallas,18.62,8.18
1910,Dallas,18.49,8.22
1911,Dallas,19.11,8.18
1912,Dallas,17.10,8.17
1913,Dallas,17.57,8.30
1914,Dallas,17.75,8.59
1915,Dallas,17.67,8.59
1916,Dallas,18.23,8.23
1917,Dallas,17.30,8.02
1918,Dallas,18.20,8.13
1919,Dallas,17.41,8.38
1920,Dallas,17.55,8.36
1921,Dallas,19.48,8.57
1922,Dallas,18.60,8.41
1923,Dallas,18.15,8.42
1924,Dallas,17.48,8.51
1925,Dallas,18.98,8.53
1926,Dallas,17.62,8.73
1927,Dallas,18.79,8.52
1928,Dallas,17.93,8.63
1929,Dallas,17.58,8.24
1930,Dallas,18.04,8.63
1931,Dallas,18.57,8.72
1932,Dallas,17.99,8.71
1933,Dallas,19.34,8.34
1934,Dallas,19.34,8.63
1935,Dallas,18.09,8.52
1936,Dallas,18.21,8.55
1937,Dallas,17.94,8.70
1938,Dallas,19.12,8.86
1939,Dallas,19.16,8.76
1940,Dallas,17.19,8.76
1941,Dallas,18.27,8.77
1942,Dallas,17.94,8.73
1943,Dallas,18.42,8.76
1944,Dallas,18.40,8.85
1945,Dallas,18.06,8.58
1946,Dallas,18.91,8.68
1947,Dallas,17.96,8.80
1948,Dallas,18.26,8.75
1949,Dallas,18.05,8.59
1950,Dallas,18.15,8.37
1951,Dallas,18.63,8.63
1952,Dallas,18.85,8.64
1953,Dallas,18.82,8.87
1954,Dallas,19.67,8.56
1955,Dallas,18.73,8.63
1956,Dallas,19.36,8.28
1957,Dallas,18.10,8.73
1958,Dallas,17.63,8.77
1959,Dallas,17.75,8.73
1960,Dallas,17.71,8.58
1961,Dallas,17.68,8.80
1962,Dallas,18.32,8.75
1963,Dallas,18.84,8.86
1964,Dallas,18.38,8.41
1965,Dallas,18.54,8.53
1966,Dallas,17.61,8.60
1967,Dallas,18.33,8.70
1968,Dallas,17.36,8.52
1969,Dallas,18.15,8.60
1970,Dallas,17.91,8.70
1971,Dallas,18.51,8.60
1972,Dallas,18.31,8.50
1973,Dallas,17.98,8.95
1974,Dallas,18.26,8.47
1975,Dallas,17.95,8.74
1976,Dallas,17.45,8.35
1977,Dallas,18.88,8.85
1978,Dallas,17.82,8.69
1979,Dallas,17.11,8.73
1980,Dallas,18.77,8.98
1981,Dallas,18.41,9.17
1982,Dallas,18.17,8.64
1983,Dallas,17.20,9.03
1984,Dallas,18.47,8.69
1985,Dallas,18.22,8.66
1986,Dallas,18.83,8.83
1987,Dallas,18.28,8.99
1988,Dallas,18.19,9.20
1989,Dallas,17.48,8.92
1990,Dallas,18.97,9.23
1991,Dallas,18.47,9.18
1992,Dallas,18.19,8.84
1993,Dallas,17.82,8.87
1994,Dallas,18.31,9.04
1995,Dallas,18.45,9.35
1996,Dallas,18.43,9.04
1997,Dallas,17.85,9.20
1998,Dallas,19.85,9.52
1999,Dallas,19.61,9.29
2000,Dallas,18.90,9.20
2001,Dallas,18.55,9.41
2002,Dallas,18.19,9.57
2003,Dallas,18.55,9.53
2004,Dallas,18.58,9.32
2005,Dallas,19.13,9.70
2006,Dallas,19.85,9.53
2007,Dallas,18.42,9.73
2008,Dallas,18.52,9.43
2009,Dallas,18.42,9.51
2010,Dallas,18.69,9.70
2011,Dallas,19.69,9.52
2012,Dallas,19.99,9.51
2013,Dallas,20.45,9.61
